156070485951559(ns),accelerometer,-1.4760253,-0.95708215,2.8245595
156070490884684(ns),accelerometer,-1.8022354,-0.81402856,2.4582467
156070495938955(ns),accelerometer,-1.8022354,-0.81402856,2.4582467
156070500833329(ns),accelerometer,-2.0973208,-0.6877344,2.043451
156070506051403(ns),accelerometer,-2.460641,-0.5386954,1.6101006
156070510958225(ns),accelerometer,-2.8562827,-0.40402153,1.1971009
156070515818538(ns),accelerometer,-3.2609026,-0.29388827,0.7236475
156070520845361(ns),accelerometer,-3.679888,-0.2136825,0.29568392
156070525869528(ns),accelerometer,-4.159327,-0.10534488,-0.09816227
156070530603434(ns),accelerometer,-4.6860514,0.060453594,-0.48003745
156070536696403(ns),accelerometer,-5.7245364,0.43155485,-1.1821371
156070540509788(ns),accelerometer,-5.7245364,0.43155485,-1.1821371
156070545785101(ns),accelerometer,-6.203377,0.6823475,-1.5107412
156070550557548(ns),accelerometer,-6.663662,0.9068039,-1.7495629
156070555509266(ns),accelerometer,-7.1107793,1.0827777,-1.9249382
156070560445517(ns),accelerometer,-7.447763,1.3060371,-2.0362685
156070565410152(ns),accelerometer,-7.7183075,1.5831659,-2.2056582
156070570507288(ns),accelerometer,-7.903858,1.8010383,-2.416348
156070575324058(ns),accelerometer,-8.033145,1.9500773,-2.717419
156070580086246(ns),accelerometer,-8.121132,2.0685902,-3.0137014
156070585201194(ns),accelerometer,-8.186973,2.1296425,-3.2495303
156070590121819(ns),accelerometer,-8.244433,2.2056582,-3.3883939
156070594835621(ns),accelerometer,-8.2833395,2.2798786,-3.4278982
156070599756402(ns),accelerometer,-8.316259,2.304419,-3.429694
156070604727912(ns),accelerometer,-8.369531,2.3229742,-3.3087866
156070609439527(ns),accelerometer,-8.409035,2.291251,-3.1956608
156070614390152(ns),accelerometer,-8.435371,2.243367,-2.9879637
156070619367288(ns),accelerometer,-8.447941,2.142212,-2.7898436
156070624347392(ns),accelerometer,-8.44375,2.0488381,-2.5145104
156070629035725(ns),accelerometer,-8.397064,1.934515,-2.256535
156070634013954(ns),accelerometer,-8.352771,1.8698715,-2.0087352
156070638912079(ns),accelerometer,-8.243835,1.8130093,-1.8656816
156070643916923(ns),accelerometer,-8.133701,1.7262194,-1.7806876
156070648826975(ns),accelerometer,-8.007407,1.6274586,-1.7351977
156070653740412(ns),accelerometer,-7.8344264,1.5466543,-1.6873137
156070658824788(ns),accelerometer,-7.586028,1.4682442,-1.6298528
156070663750569(ns),accelerometer,-7.342418,1.435324,-1.590947
156070668712027(ns),accelerometer,-7.0605006,1.3892355,-1.5801731
156070673542340(ns),accelerometer,-6.7360864,1.3126211,-1.62686
156070678593486(ns),accelerometer,-6.405687,1.192911,-1.6418238
156070683517756(ns),accelerometer,-6.0758853,1.1228806,-1.6035166
156070688314580(ns),accelerometer,-5.7538652,1.0737995,-1.590947
156070693454944(ns),accelerometer,-5.473145,1.0348936,-1.596334
156070698427652(ns),accelerometer,-5.203199,0.98581254,-1.6627731
156070703352756(ns),accelerometer,-4.9188876,0.919972,-1.7735049
156070708217496(ns),accelerometer,-4.654328,0.825401,-1.9009962
156070714287131(ns),accelerometer,-4.378995,0.7200562,-2.0446482
156070718207392(ns),accelerometer,-4.1156325,0.6183026,-2.107496
156070723208121(ns),accelerometer,-3.8253357,0.5129577,-2.1039047
156070728127080(ns),accelerometer,-3.518878,0.40222588,-2.078167
156070733025725(ns),accelerometer,-3.1723173,0.2873042,-2.0374656
156070737821611(ns),accelerometer,-2.7862523,0.14065935,-1.9566613
156070742906246(ns),accelerometer,-2.4432828,0.037110128,-1.8177977
156070747800413(ns),accelerometer,-2.0566192,0.0047884034,-1.5221137
156070752823017(ns),accelerometer,-1.5400703,0.01436521,-1.0468647
156070757649163(ns),accelerometer,-0.86969376,-0.05207389,-0.52971715
156070762678798(ns),accelerometer,-0.09816227,-0.12629414,-0.054468088
156070767626715(ns),accelerometer,0.75596917,-0.14844051,0.4165911
156070772567444(ns),accelerometer,1.7537527,-0.23582886,0.7505822
156070777782340(ns),accelerometer,3.032855,-0.39384618,0.89423436
156070782718485(ns),accelerometer,4.380192,-0.6135142,1.0163386
156070787794944(ns),accelerometer,5.734113,-0.8283938,1.2156559
156070792600933(ns),accelerometer,6.9892735,-0.96067345,1.560421
156070800481819(ns),accelerometer,8.12592,-1.0169371,2.007538
